precision,recall,f1,TP,TN,FP,FN,total_true,total_false,fold
0.996026351563317,0.9448467413947029,0.9697617593158216,9525,963,38,556,10081,1001,1
0.99516705190166,0.9395893264557088,0.9665799275473238,9472,955,46,609,10081,1001,2
0.9962287869264613,0.9433587937704593,0.9690732154684872,9510,965,36,571,10081,1001,3
0.9948979591836735,0.9479166666666666,0.9708392603129445,9555,952,49,525,10080,1001,4
0.9957050073329143,0.9429563492063492,0.968613064302456,9505,960,41,575,10080,1001,5
0.9956045796094355,0.9437335079261155,0.9689753513953963,47567,4795,210,2836,50403,5005,overall
