PER_PROGRAM_BASELINE
Benchmark,Precision,Recall
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,0.5152,0.1255
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0e7d57473a_kyorohiro_HetimaUtil_tgz-pJ8-net_hetimatan_net_http_HttpServer3xxJ8,0.8182,0.2535
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3ee04818e8_abliss_poker_tgz-pJ8-TestJ8,0.5586,0.3263
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8,0.7632,0.677
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8,0.7432,0.9483
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,0.5843,0.6262
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8,0.9254,0.0764
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url1d5e9d990f_Telsis_jOCP_tgz-pJ8-com_telsis_jocp_sampleApp_BasicOCPAppJ8,0.6937,0.4724
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8,0.8739,0.9747
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url2e4fca7217_mark_lacdao_RPGClient_tgz-pJ8-org_nerv_rpgclient_MainJ8,0.5331,0.8667
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,0.7917,0.1756
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url063b9533f6_karlney_tetris_ai_tgz-pJ8-karlney_tetris_cmd_TetrisGameRunnerJ8,0.8947,0.2833
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,0.7398,0.976
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url28f181064f_simonjupp_java_skos_api_tgz-pJ8-example_CreateSKOSExampleJ8,0.9706,0.0448
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,0.8612,0.8832
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8,0.676,0.4838
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url49584c1d41_Arrem_GGS_tgz-pJ8-com_gamezgalaxy_test_console_MainJ8,0.3934,0.6942
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,1.0,0.1432

 Area under curve,0.7241535954980345

PRECISION-RECALL CURVE POINTS
Probability Thresholds,Precision,Recall, F-measure
1e-14,0,1.0,0
0.0,0.315,1.0,0.479
0.0006469852771048885,0.315,0.8845,0.4645
0.0006470509771587134,0.315,0.8845,0.4645
0.0006472395102053863,0.315,0.8845,0.4645
0.0006476215860593286,0.315,0.8845,0.4645
0.0006477778877654877,0.315,0.8845,0.4645
0.0006478432041143977,0.315,0.8845,0.4646
0.0006480591993342121,0.315,0.8845,0.4646
0.0006481080088347614,0.315,0.8845,0.4646
0.0006481907720139265,0.315,0.8845,0.4646
0.0006482972951362741,0.315,0.8845,0.4646
0.0006485054164856226,0.315,0.8845,0.4646
0.0006486638315336493,0.3151,0.8845,0.4646
0.0006487545041767464,0.3151,0.8845,0.4647
0.0006489303193029201,0.3151,0.8844,0.4647
0.0006493434608590835,0.3151,0.8844,0.4647
0.000649398320185998,0.3151,0.8844,0.4647
0.0006494140178317738,0.3152,0.8844,0.4647
0.0006495729747166805,0.3152,0.8844,0.4647
0.0006502270562885646,0.3152,0.8844,0.4648
0.000650845752874492,0.3152,0.8844,0.4648
0.0006512838798833717,0.3152,0.8844,0.4648
0.0006514124549495077,0.3152,0.8844,0.4648
0.0006515035078948996,0.3152,0.8844,0.4648
0.0006515141266976876,0.3152,0.8844,0.4648
0.0006515288239658056,0.3152,0.8844,0.4648
0.0006515717292340497,0.3152,0.8844,0.4648
0.0006520418018335168,0.3152,0.8844,0.4648
0.0006520824063068191,0.3152,0.8844,0.4648
0.0006523090154092219,0.3153,0.8844,0.4649
0.0006532563257803412,0.3153,0.8844,0.4649
0.000653448315957563,0.3153,0.8844,0.4649
0.000653506700495336,0.3153,0.8844,0.4649
0.0006535242433856381,0.3153,0.8844,0.4649
0.0006539806977972231,0.3153,0.8844,0.4649
0.000654634364175181,0.3153,0.8844,0.4649
0.0006546807172079363,0.3153,0.8844,0.4649
0.0006549940058628116,0.3153,0.8844,0.4649
0.0006551846568883515,0.3153,0.8844,0.4649
0.0006552834183929946,0.3154,0.8844,0.465
0.0006553239707281519,0.3154,0.8844,0.465
0.0006555377334607684,0.3154,0.8844,0.465
0.000655731420980394,0.3154,0.8844,0.465
0.0006564744985945684,0.3154,0.8844,0.465
0.0006567007607835548,0.3155,0.8844,0.4651
0.0006569573582645131,0.3155,0.8844,0.4651
0.0006573483585531689,0.3155,0.8844,0.4651
0.0006574715657231701,0.3155,0.8844,0.4651
0.0006575416593984781,0.3156,0.8844,0.4652
0.0006582581815216848,0.3156,0.8844,0.4652
0.0006583282028165924,0.3156,0.8844,0.4652
0.0006586265092834502,0.3156,0.8844,0.4652
0.0006588046782854534,0.3156,0.8844,0.4652
0.0006589250756148946,0.3157,0.8844,0.4653
0.0006591052661049009,0.3158,0.8844,0.4654
0.0006596822753929764,0.3158,0.8844,0.4654
0.0006597385758794397,0.3158,0.8844,0.4654
0.0006604017495323998,0.3159,0.8844,0.4655
0.0006606059151947954,0.3159,0.8844,0.4655
0.0006607365221575312,0.3159,0.8844,0.4655
0.0006609358617601117,0.3159,0.8844,0.4655
0.0006617534834926736,0.3159,0.8844,0.4655
0.0006618170145474768,0.3159,0.8844,0.4655
0.0006620544543775048,0.3159,0.8844,0.4655
0.00066253487458013,0.3159,0.8844,0.4656
0.0006625491256419305,0.3159,0.8844,0.4656
0.0006625624226283618,0.316,0.8844,0.4656
0.0006628750802933522,0.316,0.8844,0.4656
0.0006636367480378528,0.316,0.8844,0.4656
0.0006638018968171533,0.316,0.8844,0.4656
0.0006640087362206087,0.316,0.8844,0.4656
0.0006645544460986046,0.316,0.8844,0.4656
0.0006650395917744169,0.316,0.8844,0.4657
0.0006653579627289862,0.3161,0.8844,0.4657
0.0006655369430000726,0.3161,0.8844,0.4657
0.0006656966536524077,0.3161,0.8844,0.4657
0.0006665690620816675,0.3161,0.8844,0.4657
0.0006666646404219677,0.3161,0.8844,0.4658
0.0006670888214632641,0.3161,0.8844,0.4658
0.0006674200396782026,0.3161,0.8844,0.4658
0.000667465213803784,0.3161,0.8844,0.4658
0.000667805419744349,0.3161,0.8844,0.4658
0.0006679765048770684,0.3161,0.8844,0.4658
0.0006681094655629284,0.3161,0.8844,0.4658
0.00066848903991969,0.3162,0.8844,0.4658
0.0006693339360835103,0.3162,0.8844,0.4658
0.000669600626972233,0.3162,0.8844,0.4658
0.0006697499070001531,0.3162,0.8844,0.4658
0.0006697914021840046,0.3162,0.8844,0.4659
0.0006703290066368041,0.3162,0.8844,0.4659
0.0006706002530909761,0.3162,0.8844,0.4659
0.0006711337852452749,0.3163,0.8844,0.4659
0.0006717057362210948,0.3163,0.8844,0.4659
0.000671744074190005,0.3163,0.8844,0.466
0.0006718814433457203,0.3163,0.8844,0.466
0.000671883731995064,0.3163,0.8844,0.466
0.0006723503751818188,0.3163,0.8844,0.466
0.000672391910660532,0.3164,0.8844,0.466
0.0006724144874242393,0.3164,0.8844,0.466
0.0006725229626536834,0.3164,0.8844,0.466
0.0006726744839803261,0.3164,0.8844,0.466
0.0006729173989560212,0.3164,0.8844,0.466
0.0006730803485733151,0.3164,0.8844,0.4661
0.0006737741675858783,0.3164,0.8844,0.4661
0.0006738240457638953,0.3164,0.8844,0.4661
0.0006739481323766645,0.3164,0.8844,0.4661
0.0006739859649692,0.3164,0.8844,0.4661
0.0006743852559246386,0.3164,0.8844,0.4661
0.0006746450239021402,0.3164,0.8844,0.4661
0.0006747875998303275,0.3165,0.8844,0.4661
0.0006749673311724171,0.3165,0.8844,0.4662
0.0006749759740123792,0.3167,0.8844,0.4664
0.0006750443622932181,0.3167,0.8844,0.4664
0.0006751163501830118,0.3168,0.8844,0.4665
0.0006751970643218816,0.3168,0.8844,0.4665
0.0006754906582508228,0.3168,0.8844,0.4665
0.000676016922936347,0.3168,0.8844,0.4665
0.0006761022447655128,0.3169,0.8844,0.4666
0.0006763259874130475,0.3169,0.8844,0.4666
0.0006771371452710812,0.3169,0.8844,0.4666
0.0006772436662455476,0.3169,0.8844,0.4666
0.0006773786835754555,0.3169,0.8844,0.4666
0.0006778438050900561,0.3169,0.8844,0.4667
0.0006778488788472874,0.317,0.8844,0.4667
0.0006783127869412307,0.317,0.8844,0.4667
0.000678412846050148,0.317,0.8844,0.4667
0.0006784413378310914,0.317,0.8844,0.4667
0.0006787774381295156,0.317,0.8844,0.4667
0.0006789278750091846,0.317,0.8844,0.4667
0.0006790812836604186,0.3171,0.8844,0.4668
0.0006794551011741025,0.3171,0.8844,0.4668
0.0006795832172585245,0.3171,0.8844,0.4669
0.000680653427606336,0.3171,0.8844,0.4669
0.0006808149023197043,0.3171,0.8844,0.4669
0.000681019912900746,0.3172,0.8844,0.4669
0.0006811342771751358,0.3172,0.8844,0.4669
0.0006814143321248333,0.3172,0.8844,0.4669
0.0006820139861500081,0.3172,0.8844,0.4669
0.0006825271918543746,0.3172,0.8844,0.4669
0.0006828321084160978,0.3172,0.8844,0.4669
0.0006830543293346812,0.3172,0.8844,0.467
0.0006830968131889678,0.3172,0.8844,0.467
0.0006831470115982582,0.3174,0.8844,0.4671
0.0006831979458355795,0.3174,0.8844,0.4672
0.0006834137347370594,0.3174,0.8844,0.4672
0.0006834788194018972,0.3174,0.8844,0.4672
0.0006844020929144918,0.3174,0.8844,0.4672
0.0006846864829771958,0.3174,0.8844,0.4672
0.0006847226632316664,0.3174,0.8844,0.4672
0.0006850154410951004,0.3174,0.8844,0.4672
0.0006854689939282101,0.3175,0.8844,0.4672
0.0006856889709266526,0.3175,0.8844,0.4672
0.0006857078914619585,0.3175,0.8844,0.4673
0.000686079284645614,0.3175,0.8844,0.4673
0.0006863118213228129,0.3176,0.8844,0.4673
0.0006866191482283654,0.3176,0.8844,0.4673
0.0006868493410714426,0.3176,0.8844,0.4673
0.0006870613411818559,0.3176,0.8844,0.4673
0.0006872227356189908,0.3176,0.8844,0.4674
0.0006877168918777201,0.3176,0.8844,0.4674
0.0006881795273101776,0.3176,0.8844,0.4674
0.0006882158569962748,0.3176,0.8844,0.4674
0.000689013375305219,0.3176,0.8844,0.4674
0.0006894286404644962,0.3176,0.8844,0.4674
0.000689511788963517,0.3176,0.8844,0.4674
0.0006898143599816419,0.3176,0.8844,0.4674
0.0006903354717102346,0.3176,0.8844,0.4674
0.0006905455989142008,0.3176,0.8844,0.4674
0.0006907262998798647,0.3176,0.8844,0.4674
0.0006913514042382233,0.3176,0.8844,0.4674
0.000692075712384493,0.3177,0.8844,0.4674
0.0006921668266707408,0.3177,0.8844,0.4674
0.0006922600368700286,0.3177,0.8844,0.4674
0.0006928816880234225,0.3177,0.8844,0.4674
0.000693370708299382,0.3177,0.8844,0.4674
0.00069339685611345,0.3177,0.8844,0.4674
0.0006934409505126511,0.3177,0.8844,0.4674
0.0006934553430766144,0.3177,0.8844,0.4675
0.0006934999192434433,0.3177,0.8844,0.4675
0.0006936893826142323,0.3177,0.8844,0.4675
0.000693971790965354,0.3177,0.8844,0.4675
0.0006952429915815618,0.3177,0.8844,0.4675
0.0006955706530717917,0.3177,0.8844,0.4675
0.0006956677453307185,0.3178,0.8844,0.4676
0.0006956816614548429,0.3178,0.8844,0.4676
0.0006959591406501474,0.3181,0.8843,0.4679
0.0006960768395766031,0.3181,0.8843,0.4679
0.0006960785354440711,0.3181,0.8843,0.4679
0.0006961943695273384,0.3181,0.8843,0.4679
0.0006965619228006312,0.3181,0.8843,0.4679
0.0006970249254204927,0.3181,0.8843,0.4679
0.0006970558880609161,0.3181,0.8843,0.4679
0.0006971129614083553,0.3181,0.8843,0.4679
0.0006978441784099606,0.3181,0.8843,0.4679
0.00069817179800164,0.3181,0.8843,0.4679
0.0006984134138622177,0.3182,0.8843,0.468
0.0006988399576423747,0.3182,0.8843,0.468
0.0006991870715355743,0.3183,0.8843,0.4681
0.000699857572911326,0.3183,0.8843,0.4681
0.0007001502911758847,0.3183,0.8843,0.4681
0.0007004031632512148,0.3183,0.8843,0.4681
0.000701344009180371,0.3183,0.8843,0.4681
0.0007016638337110823,0.3184,0.8843,0.4682
0.000701713620325931,0.3184,0.8843,0.4682
0.0007017215607874687,0.3184,0.8843,0.4682
0.0007020402351023189,0.3184,0.8843,0.4682
0.000702069893016003,0.3184,0.8843,0.4682
0.0007021961786125629,0.3184,0.8843,0.4682
0.000702905529634595,0.3184,0.8843,0.4682
0.000702961288884673,0.3184,0.8843,0.4682
0.0007030139551749105,0.3184,0.8843,0.4682
0.0007031408532371942,0.3184,0.8843,0.4682
0.0007033853811453426,0.3184,0.8843,0.4682
0.0007039742343576978,0.3184,0.8843,0.4682
0.0007043729290330721,0.3184,0.8843,0.4682
0.0007044006189589338,0.3184,0.8843,0.4682
0.000704553132960513,0.3185,0.8843,0.4683
0.0007046136922759832,0.3185,0.8843,0.4683
0.000704802772245066,0.3185,0.8843,0.4683
0.0007055703056862987,0.3185,0.8843,0.4683
0.0007056807639257218,0.3185,0.8843,0.4683
0.000706343868246298,0.3185,0.8843,0.4683
0.0007065566392312293,0.3185,0.8843,0.4683
0.000706676718204283,0.3185,0.8843,0.4683
0.0007068530168420021,0.3187,0.8843,0.4685
0.0007079380940502737,0.3187,0.8843,0.4685
0.000708544810062916,0.3187,0.8843,0.4685
0.0007085918428437954,0.3187,0.8843,0.4685
0.0007088448378827998,0.3187,0.8843,0.4685
0.000709184170340642,0.3187,0.8843,0.4686
0.000709210896866915,0.3187,0.8843,0.4686
0.000709697485772856,0.3187,0.8843,0.4686
0.0007098472949451268,0.3188,0.8843,0.4686
0.0007098724804616979,0.3188,0.8843,0.4686
0.0007100322453207133,0.3188,0.8843,0.4686
0.0007100962869753629,0.3188,0.8843,0.4686
0.0007103739098610405,0.3188,0.8843,0.4687
0.0007103843017510185,0.3188,0.8843,0.4687
0.0007103913525170713,0.3188,0.8843,0.4687
0.0007109414539306516,0.3188,0.8843,0.4687
0.0007111239295542608,0.3189,0.8843,0.4687
0.0007113977203049181,0.3189,0.8843,0.4687
0.0007118597584329828,0.3189,0.8843,0.4687
0.0007120198066616813,0.3189,0.8843,0.4688
0.0007122602601075244,0.3189,0.8843,0.4688
0.0007122720199201212,0.3189,0.8843,0.4688
0.0007122939041164176,0.3189,0.8843,0.4688
0.0007126451935431694,0.3189,0.8843,0.4688
0.0007126658922991735,0.3189,0.8843,0.4688
0.0007129664117048051,0.3189,0.8843,0.4688
0.0007129687449564886,0.3189,0.8843,0.4688
0.0007130762638854333,0.319,0.8843,0.4688
0.0007132437709733268,0.319,0.8843,0.4688
0.0007132788675285106,0.319,0.8843,0.4688
0.0007136958576332722,0.319,0.8843,0.4688
0.0007138367410198722,0.319,0.8843,0.4688
0.0007145614953944616,0.319,0.8843,0.4689
0.0007146747934493812,0.319,0.8843,0.4689
0.000714705488234878,0.319,0.8843,0.4689
0.0007149060998939683,0.319,0.8843,0.4689
0.0007150089471605186,0.319,0.8843,0.4689
0.0007152939357671975,0.3191,0.8843,0.4689
0.0007154468142854296,0.3192,0.8843,0.4691
0.000715548455769752,0.3193,0.8843,0.4692
0.0007163608301869121,0.3193,0.8843,0.4692
0.0007170609438619526,0.3193,0.8843,0.4692
0.0007175038217494037,0.3193,0.8843,0.4692
0.0007180746238060166,0.3193,0.8843,0.4692
0.0007182072426440098,0.3193,0.8843,0.4692
0.0007184911823975886,0.3193,0.8843,0.4692
0.0007185939107531844,0.3193,0.8843,0.4692
0.000718728529162291,0.3193,0.8843,0.4692
0.0007188786819450584,0.3193,0.8843,0.4692
0.0007190692657483071,0.3194,0.8843,0.4692
0.0007199326459137309,0.3194,0.8843,0.4692
0.0007201172462012773,0.3194,0.8843,0.4693
0.0007201332500733497,0.3194,0.8843,0.4693
0.0007202502679900081,0.3194,0.8843,0.4693
0.0007202803651009886,0.3194,0.8843,0.4693
0.0007203420139884436,0.3194,0.8843,0.4693
0.0007205673957567846,0.3194,0.8843,0.4693
0.0007209393839395405,0.3194,0.8843,0.4693
0.0007210049735013379,0.3194,0.8843,0.4693
0.0007214591084926848,0.3194,0.8843,0.4693
0.0007215339119823812,0.3195,0.8843,0.4694
0.000721553113341125,0.3195,0.8843,0.4694
0.0007217709359494374,0.3195,0.8843,0.4694
0.0007228624410367741,0.3197,0.8843,0.4696
0.0007234354471540224,0.3197,0.8843,0.4696
0.0007235171626771077,0.3197,0.8843,0.4696
0.0007238075177626135,0.3197,0.8843,0.4696
0.0007247282620297891,0.3197,0.8843,0.4696
