PER_PROGRAM_BASELINE
Benchmark,Precision,Recall
0.0071609434564654075,0.3794,0.8808,0.5304
0.007161784277791113,0.3795,0.8808,0.5304
0.0071625530650292445,0.3795,0.8808,0.5304
0.00717536411085784,0.3795,0.8808,0.5305
0.007179001068501567,0.3795,0.8808,0.5305
0.007184068845530501,0.3795,0.8808,0.5305
0.007191850769612077,0.3795,0.8808,0.5305
0.007196038222809751,0.3795,0.8808,0.5305
0.007199873024766032,0.3795,0.8808,0.5305
0.0072061811677624574,0.3796,0.8808,0.5305
0.007207694027066542,0.3796,0.8808,0.5305
0.007208217058382259,0.3796,0.8808,0.5305
0.007223603561697861,0.3796,0.8808,0.5305
0.007234126179153819,0.3796,0.8808,0.5305
0.007239364805751598,0.3796,0.8808,0.5306
0.00724534909708717,0.3796,0.8808,0.5306
0.007260063260623917,0.3796,0.8808,0.5306
0.00726405023691085,0.3796,0.8808,0.5306
0.007264302709959523,0.3797,0.8808,0.5306
0.007268747616405211,0.3797,0.8808,0.5306
0.007269516403643342,0.3797,0.8808,0.5306
0.00727258197620183,0.3797,0.8808,0.5306
0.007294755231981393,0.3797,0.8808,0.5307
0.007296256353322932,0.3797,0.8808,0.5307
0.007298701503369356,0.3798,0.8808,0.5307
0.007300872686623375,0.3798,0.8808,0.5308
0.007302240336061006,0.3798,0.8808,0.5308
0.007309124265840512,0.3799,0.8808,0.5308
0.007320536494980824,0.3799,0.8808,0.5308
0.007330876458258014,0.3799,0.8808,0.5308
0.0073312206845905625,0.3799,0.8808,0.5308
0.007339968742632271,0.3799,0.8808,0.5308
0.0073407374125248484,0.3799,0.8808,0.5309
0.007345639070941365,0.3799,0.8808,0.5309
0.007347649072899009,0.3799,0.8808,0.5309
0.007348949670940893,0.3799,0.8808,0.5309
0.007351221127572834,0.3799,0.8808,0.5309
0.007355608733157013,0.3799,0.8808,0.5309
0.007366580524472365,0.3799,0.8807,0.5309
0.007366937717536201,0.38,0.8807,0.5309
0.007373858063052376,0.38,0.8807,0.5309
0.0073783469347308405,0.3801,0.8807,0.531
0.007378995613842545,0.3801,0.8807,0.531
0.0073803378123647135,0.3801,0.8807,0.531
0.007383182183944185,0.3801,0.8807,0.531
0.0073837263806923415,0.3801,0.8807,0.531
0.007386800851217386,0.3801,0.8806,0.531
0.007389083956240218,0.3801,0.8806,0.531
0.007389181617226586,0.3801,0.8806,0.531
0.0073952044599208105,0.3801,0.8806,0.531
0.00739909629254106,0.3802,0.8806,0.5311
0.007403507275185334,0.3802,0.8806,0.5311
0.007403799334176559,0.3802,0.8806,0.5311
0.007409938568288604,0.3804,0.8806,0.5313
0.00741394783877121,0.3804,0.8806,0.5313
0.007416941980319349,0.3804,0.8806,0.5313
0.0074196076687749486,0.3804,0.8806,0.5313
0.007425247149879594,0.3804,0.8806,0.5313
0.007427989066237153,0.3804,0.8806,0.5313
0.007430148593175428,0.3804,0.8806,0.5313
0.007432963748798224,0.3804,0.8806,0.5313
0.0074356436895158745,0.3805,0.8806,0.5314
0.007437953852970943,0.3805,0.8806,0.5314
0.007438600576046658,0.3805,0.8806,0.5314
0.007440505826512386,0.3805,0.8806,0.5314
0.007444050370415073,0.3805,0.8806,0.5314
0.007444527785288875,0.3805,0.8806,0.5314
0.00744680674335961,0.3805,0.8806,0.5314
0.0074488657742112704,0.3806,0.8806,0.5314
0.00745349863907901,0.3806,0.8806,0.5315
0.007454267426317141,0.3806,0.8806,0.5315
0.0074562885195739856,0.3806,0.8806,0.5315
0.007463459896070755,0.3806,0.8806,0.5315
0.007468556839581137,0.3807,0.8806,0.5316
0.007472749825182582,0.3807,0.8806,0.5316
0.007476643551989048,0.3807,0.8806,0.5316
0.007478884440649458,0.3807,0.8806,0.5316
0.007482583093089996,0.3807,0.8806,0.5316
0.007483097787081707,0.3807,0.8806,0.5316
0.0074876027951628205,0.3807,0.8806,0.5316
0.007488087891254427,0.3807,0.8806,0.5316
0.007491422340454918,0.3807,0.8806,0.5316
0.007492033073113497,0.3807,0.8806,0.5316
0.007497633955102781,0.3808,0.8806,0.5316
0.007499146814406866,0.3808,0.8806,0.5317
0.00750785013717114,0.3808,0.8806,0.5317
0.00751078045201999,0.3808,0.8806,0.5317
0.007513557818695816,0.3808,0.8806,0.5317
0.007516560237406609,0.3808,0.8806,0.5317
0.007518551999413912,0.3808,0.8806,0.5317
0.0075212934306336555,0.3809,0.8806,0.5317
0.007528548667377397,0.3809,0.8806,0.5317
0.00753057160300724,0.3809,0.8806,0.5318
0.007531270310472213,0.3809,0.8806,0.5318
0.007531327977734898,0.3809,0.8806,0.5318
0.0075322700947575375,0.3809,0.8806,0.5318
0.007533488282067836,0.3809,0.8806,0.5318
0.007537237935185427,0.3809,0.8806,0.5318
0.0075387102596198964,0.3809,0.8806,0.5318
0.0075422095984268855,0.3809,0.8806,0.5318
0.007544848768767725,0.3809,0.8806,0.5318
0.0075453694861241346,0.3809,0.8806,0.5318
0.007550646789166071,0.3809,0.8806,0.5318
0.007556506920077184,0.3809,0.8806,0.5318
0.007560047872535315,0.3809,0.8806,0.5318
0.007560091326297409,0.3809,0.8806,0.5318
0.007576070465819713,0.381,0.8806,0.5318
0.007585569713146284,0.381,0.8806,0.5318
0.007586986706590035,0.381,0.8806,0.5318
0.007591143022248463,0.381,0.8806,0.5319
0.007591688445291566,0.381,0.8806,0.5319
0.00759200296159738,0.381,0.8806,0.5319
0.007592234855400315,0.381,0.8806,0.5319
0.007594875317095438,0.381,0.8806,0.5319
0.007594937535482812,0.3811,0.8806,0.5319
0.007599747857015379,0.3811,0.8806,0.532
0.007602214554685726,0.3811,0.8806,0.532
0.007609097105484021,0.3811,0.8806,0.532
0.007612728383020916,0.3811,0.8806,0.532
0.007618484883557899,0.3811,0.8806,0.532
0.007619526860131551,0.3811,0.8806,0.532
0.007624516964304269,0.3812,0.8806,0.532
0.0076316529893409755,0.3812,0.8806,0.532
0.007650036680570829,0.3812,0.8806,0.532
0.007650067180425505,0.3812,0.8806,0.532
0.007657214389461792,0.3812,0.8806,0.5321
0.007665471430684743,0.3812,0.8806,0.5321
0.007670979296765134,0.3812,0.8806,0.5321
0.007671294401719117,0.3812,0.8806,0.5321
0.007671836352219041,0.3812,0.8806,0.5321
0.007684855010190969,0.3812,0.8806,0.5321
0.007687546307730282,0.3812,0.8806,0.5321
0.007693214957889853,0.3813,0.8805,0.5321
0.007693385723543276,0.3813,0.8805,0.5321
0.007697576914584932,0.3813,0.8805,0.5322
0.007697924413154426,0.3813,0.8805,0.5322
0.007699044314754317,0.3813,0.8805,0.5322
0.007703405181722576,0.3813,0.8805,0.5322
0.0077041739689607085,0.3813,0.8805,0.5322
0.007704850302853185,0.3813,0.8805,0.5322
0.007705409236288612,0.3814,0.8805,0.5322
0.007705702302229748,0.3814,0.8805,0.5322
0.0077074902703197804,0.3814,0.8805,0.5322
0.007712014717349625,0.3814,0.8805,0.5323
0.007714319184265265,0.3814,0.8805,0.5323
0.007715195252336723,0.3814,0.8805,0.5323
0.007729266283519437,0.3814,0.8805,0.5323
0.007737607926493468,0.3815,0.8805,0.5323
0.007738173921462626,0.3815,0.8805,0.5323
0.007739954697624679,0.3815,0.8805,0.5323
0.0077453756595338204,0.3815,0.8805,0.5323
0.007746449866924554,0.3815,0.8805,0.5324
0.007747995549256278,0.3815,0.8805,0.5324
0.007749508408560363,0.3815,0.8805,0.5324
0.007749708987622481,0.3815,0.8805,0.5324
0.007751384267465016,0.3815,0.8805,0.5324
0.007758041123787753,0.3816,0.8805,0.5324
0.0077594316426109165,0.3816,0.8805,0.5324
0.007763489213652397,0.3816,0.8805,0.5324
0.007766967292258208,0.3816,0.8805,0.5324
0.007771191926297557,0.3816,0.8805,0.5324
0.007776619278436121,0.3816,0.8805,0.5324
0.0077827670379361875,0.3816,0.8805,0.5324
0.0077846280408055985,0.3816,0.8805,0.5324
0.0077905947501604785,0.3816,0.8805,0.5325
0.007791774252225156,0.3816,0.8805,0.5325
0.007799420586072132,0.3816,0.8805,0.5325
0.007804397056213898,0.3816,0.8805,0.5325
0.007812826864633004,0.3816,0.8805,0.5325
0.007814295423360079,0.3817,0.8805,0.5325
0.00781670997901493,0.3817,0.8805,0.5325
0.007825564885391078,0.3817,0.8805,0.5325
0.00783554470579972,0.3817,0.8805,0.5325
0.007840883949278158,0.3817,0.8805,0.5325
0.007841482703020175,0.3817,0.8805,0.5325
0.007843307596834726,0.3817,0.8805,0.5326
0.007844430799101836,0.3817,0.8805,0.5326
0.007847683036696803,0.3817,0.8805,0.5325
0.007849519628455256,0.3818,0.8805,0.5327
0.00785376596984678,0.3819,0.8805,0.5328
0.007858019377960134,0.3819,0.8805,0.5328
0.007864148739020195,0.3822,0.8805,0.533
0.007865463273390211,0.3822,0.8804,0.533
0.007870904278827986,0.3823,0.8804,0.5331
0.0078784930214139,0.3823,0.8804,0.5331
0.007882831534514544,0.3823,0.8804,0.5331
0.007883832130501782,0.3823,0.8804,0.5331
0.007885829582780198,0.3823,0.8804,0.5331
0.007893870584325302,0.3823,0.8804,0.5331
0.007902732221717747,0.3823,0.8804,0.5331
0.00790810134617108,0.3823,0.8804,0.5331
0.00791574381349705,0.3823,0.8804,0.5331
0.007917741265775468,0.3825,0.8804,0.5333
0.007919870905068785,0.3825,0.8804,0.5333
0.007922731369948187,0.3825,0.8803,0.5333
0.007924993871271019,0.3825,0.8803,0.5333
0.007932568039993634,0.3825,0.8803,0.5333
0.007934515893661544,0.3825,0.8803,0.5333
0.00793486311542971,0.3825,0.8803,0.5333
0.007958642443471782,0.3825,0.8803,0.5333
0.007965113947660312,0.3825,0.8803,0.5333
0.007974255254222946,0.3826,0.8803,0.5334
0.007975388794456518,0.3826,0.8803,0.5334
0.007975658009784736,0.3826,0.8803,0.5334
0.007988281129590708,0.3826,0.8803,0.5334
0.007989136561583865,0.3826,0.8803,0.5334
0.007995681854237857,0.3826,0.8803,0.5334
0.007996699322165329,0.3826,0.8803,0.5334
0.007998463550071366,0.3827,0.8803,0.5334
0.008001986412276316,0.3827,0.8803,0.5335
0.008005522772824996,0.3827,0.8803,0.5335
0.008010975049754222,0.3827,0.8803,0.5335
0.008016898984989067,0.3828,0.8803,0.5335
0.008027110677984691,0.3828,0.8803,0.5335
0.008030170240682317,0.3828,0.8803,0.5335
0.008033328275110762,0.3828,0.8803,0.5336
0.008051146259316124,0.3828,0.8803,0.5336
0.008060144323468592,0.3828,0.8803,0.5336
0.008077962307673952,0.3828,0.8803,0.5336
0.008078827975102152,0.3828,0.8803,0.5336
0.008078928691709907,0.3828,0.8803,0.5336
0.00808809646474251,0.3829,0.8803,0.5337
0.008088670575405417,0.3829,0.8803,0.5337
0.00810037121023228,0.3829,0.8803,0.5337
0.008101139997470412,0.3829,0.8803,0.5337
0.008102082388568126,0.3829,0.8803,0.5337
0.008112967236902047,0.3829,0.8803,0.5337
0.008117580466738132,0.383,0.8803,0.5337
0.008124914218018408,0.383,0.8803,0.5337
0.008129860166345905,0.383,0.8803,0.5338
0.008133268184825114,0.383,0.8803,0.5338
0.008135125104152352,0.383,0.8803,0.5338
0.008137700245701306,0.3831,0.8803,0.5338
0.008138035721671684,0.3831,0.8803,0.5339
0.008141209904588106,0.3831,0.8803,0.5339
0.00814647691064033,0.3831,0.8803,0.5339
0.008148469841561418,0.3831,0.8803,0.5339
0.008148628973126348,0.3831,0.8803,0.5339
0.008154119534714127,0.3831,0.8803,0.5339
0.008156136078307188,0.3831,0.8803,0.5339
0.008158958809922474,0.3832,0.8803,0.5339
0.008159140408494596,0.3832,0.8803,0.534
0.008161909669356938,0.3833,0.8803,0.5341
0.00816255004392714,0.3833,0.8803,0.5341
0.008163422528661023,0.3834,0.8803,0.5341
0.00816802595294593,0.3834,0.8803,0.5341
0.00816850365521169,0.3834,0.8803,0.5341
0.008169023213795598,0.3834,0.8803,0.5341
0.008169251618352066,0.3834,0.8803,0.5342
0.008169351294628539,0.3834,0.8803,0.5342
0.00817195465065389,0.3835,0.8803,0.5342
0.008180322815235239,0.3835,0.8803,0.5342
0.008190046682159028,0.3835,0.8803,0.5342
0.008202187446639543,0.3837,0.8803,0.5344
0.008207774295525848,0.3837,0.8803,0.5344
0.008211182314005057,0.3837,0.8803,0.5344
0.008224587731745333,0.3837,0.8803,0.5344
0.008226302447842714,0.3837,0.8803,0.5345
0.008236253755918172,0.3837,0.8803,0.5345
0.008244877180943508,0.3838,0.8803,0.5345
0.008249626638527865,0.3838,0.8803,0.5345
0.008250482070521021,0.3838,0.8803,0.5345
0.008250586746508077,0.3838,0.8803,0.5345
0.008254789798599215,0.3838,0.8803,0.5346
0.008255645230592369,0.3838,0.8803,0.5346
0.00826305816569993,0.3838,0.8803,0.5346
0.008263739043686016,0.3839,0.8803,0.5346
0.008271850751477763,0.3839,0.8803,0.5346
0.008290847953563867,0.3839,0.8803,0.5346
0.008295671766697535,0.3839,0.8803,0.5346
0.008302853551544547,0.3839,0.8803,0.5346
0.008303622338782679,0.3839,0.8803,0.5346
0.008312141298739681,0.3839,0.8803,0.5346
0.008313471416621422,0.3839,0.8803,0.5347
0.008314832356272126,0.384,0.8803,0.5347
0.00831952782338124,0.3841,0.8803,0.5348
0.008325972405120721,0.3841,0.8803,0.5348
0.008330539022999826,0.3841,0.8803,0.5348
0.008331587851726103,0.3841,0.8803,0.5348
0.008331761085212858,0.3841,0.8803,0.5348
0.008332407231798056,0.3841,0.8803,0.5348
0.008333176019036187,0.3841,0.8803,0.5349
0.008335640658412531,0.3841,0.8803,0.5349
0.008343383490044194,0.3841,0.8803,0.5349
0.008346880266038682,0.3841,0.8803,0.5349
0.008347697607097611,0.3841,0.8803,0.5349
0.00834943026702765,0.3842,0.8803,0.5349
0.008349575676560405,0.3842,0.8803,0.5349
0.00835001737200398,0.3842,0.8803,0.5349
0.008350650533040151,0.3842,0.8803,0.535
0.008353297087245713,0.3843,0.8803,0.535
0.008354308527043303,0.3843,0.8803,0.535
0.00835564063721287,0.3843,0.8803,0.535
0.008355742687675511,0.3843,0.8803,0.535
0.00835575073640498,0.3843,0.8803,0.535
0.00835703374704895,0.3843,0.8803,0.5351
0.008358102102769965,0.3844,0.8803,0.5351
0.008361338077672338,0.3844,0.8803,0.5352
0.00836956803196314,0.3844,0.8803,0.5352
0.008373120337156603,0.3845,0.8802,0.5352
0.00837448373508945,0.3845,0.8802,0.5353
0.008380939137256621,0.3846,0.88,0.5353
0.008382375546012719,0.3847,0.88,0.5353
0.008384169461421077,0.3847,0.88,0.5353
0.00838592924142934,0.3847,0.88,0.5353
0.008388096996378255,0.3847,0.88,0.5353
0.00838986795886552,0.3847,0.88,0.5353
0.008394399163705891,0.3847,0.88,0.5353
0.008396308117202385,0.3847,0.88,0.5353
0.008402328725289412,0.3847,0.88,0.5354
0.008403114726602339,0.3848,0.88,0.5355
0.008406523205130944,0.3848,0.88,0.5355
0.008413677569777369,0.3848,0.88,0.5355
0.008413816247903542,0.3848,0.88,0.5355
0.00842130730277937,0.3848,0.88,0.5355
0.008429733106629892,0.3849,0.88,0.5355
0.00843173055890831,0.385,0.88,0.5356
0.008432511151449822,0.3853,0.88,0.536
0.008433366583442977,0.3854,0.88,0.536
0.008434723210802613,0.3854,0.88,0.536
0.00843580001930275,0.3854,0.88,0.536
0.008436554915765605,0.3854,0.88,0.536
0.00843672066308103,0.3855,0.88,0.5361
0.008438045478910904,0.3855,0.88,0.5362
0.00843890091090406,0.3856,0.88,0.5362
0.008445331352925304,0.3856,0.88,0.5362
0.008453735202946722,0.3856,0.88,0.5362
0.008454503990184855,0.3856,0.88,0.5362
0.008464022096663595,0.3856,0.88,0.5362
0.00846516927506971,0.3856,0.88,0.5362
0.008466579930392631,0.3856,0.88,0.5363
0.008485762493048676,0.3858,0.8797,0.5364
0.0084867997698541,0.3858,0.8797,0.5364
0.008487932297853931,0.3859,0.8797,0.5364
0.008491798057552707,0.3859,0.8797,0.5364
0.008491916793474757,0.3859,0.8797,0.5364
0.00849232807591673,0.3859,0.8797,0.5364
0.008492685580712887,0.3859,0.8797,0.5364
0.008499985770709912,0.3859,0.8797,0.5364
0.008506856446806854,0.3861,0.8797,0.5366
0.0085093851545666,0.3861,0.8797,0.5366
0.008510153941804731,0.3861,0.8797,0.5367
0.008521662957039641,0.3861,0.8797,0.5367
0.008529652593696785,0.3861,0.8797,0.5367
0.00853357312289828,0.3861,0.8797,0.5367
0.008547897217289692,0.3861,0.8797,0.5367
0.008554673020577294,0.3862,0.8797,0.5368
0.008555515368861762,0.3862,0.8797,0.5368
0.008560094429400925,0.3862,0.8797,0.5368
0.008565563563599898,0.3862,0.8797,0.5368
0.008567139245006933,0.3863,0.8797,0.5368
0.008567633253308993,0.3863,0.8797,0.5368
0.008568311332856219,0.3863,0.8797,0.5368
0.008570215459918819,0.3863,0.8797,0.5369
0.008571413444282429,0.3864,0.8797,0.5369
0.008574135989120314,0.3864,0.8797,0.5369
0.008587567749750969,0.3864,0.8797,0.5369
0.008590885923892429,0.3864,0.8797,0.5369
0.008598529203949788,0.3864,0.8797,0.537
0.008598973437498238,0.3865,0.8797,0.537
0.0085989763352463,0.3865,0.8797,0.537
0.00860069152145124,0.3865,0.8797,0.537
0.008605450320088895,0.3865,0.8797,0.5371
0.008607357719967589,0.3865,0.8797,0.5371
0.00861013580138412,0.3865,0.8797,0.5371
0.008613969771650767,0.3866,0.8797,0.5371
0.008618873144890687,0.3866,0.8797,0.5371
0.00862511211436862,0.3866,0.8797,0.5371
0.008632604045286766,0.3866,0.8797,0.5372
0.008633988796183555,0.3866,0.8797,0.5372
0.008636590052970789,0.3866,0.8797,0.5372
0.008637502700978099,0.3867,0.8797,0.5372
0.008639281741521287,0.3867,0.8797,0.5372
0.008641896325202464,0.3867,0.8797,0.5372
0.00864237129567224,0.3867,0.8797,0.5372
0.008643001573547023,0.3867,0.8797,0.5372
0.008643418561869,0.3867,0.8797,0.5372
0.008643770360785154,0.3867,0.8797,0.5373
0.008661336420210905,0.3867,0.8797,0.5373
0.008662641542920943,0.3867,0.8797,0.5373
0.008663552052639887,0.3868,0.8797,0.5373
0.008664540379721797,0.3868,0.8797,0.5373
0.008666379083279562,0.3868,0.8797,0.5373
0.00866935976314398,0.3868,0.8797,0.5373
0.008671837141311194,0.3868,0.8797,0.5373
0.00867310441709757,0.3868,0.8797,0.5373
0.008680428522795594,0.3868,0.8797,0.5373
0.008680834797192128,0.3868,0.8797,0.5374
0.008690149670459684,0.3868,0.8797,0.5374
0.008699571390817255,0.3868,0.8797,0.5374
0.00870026535398304,0.3868,0.8797,0.5374
0.008703686764522928,0.3869,0.8797,0.5374
0.0087039228377316,0.3869,0.8797,0.5374
0.008718508889207251,0.3869,0.8797,0.5374
0.008719277676445383,0.3869,0.8797,0.5374
0.008719330289987684,0.3869,0.8797,0.5374
0.008727254446344881,0.3869,0.8797,0.5374
0.008727439793421866,0.3871,0.8797,0.5376
0.008731106764371898,0.3871,0.8797,0.5376
0.0087337871641222,0.3871,0.8797,0.5377
0.008738996050280308,0.3872,0.8797,0.5377
0.00874831511468736,0.3872,0.8797,0.5377
0.00875097142702724,0.3872,0.8797,0.5377
0.008759753918626394,0.3872,0.8797,0.5378
0.008761265961840677,0.3872,0.8797,0.5378
0.008765109096709344,0.3873,0.8797,0.5378
0.008765839545011407,0.3873,0.8797,0.5378
0.008783968808921884,0.3873,0.8797,0.5378
0.008795628886638658,0.3873,0.8797,0.5378
0.008796127456059427,0.3873,0.8797,0.5378
0.00880896560301738,0.3874,0.8797,0.538
0.008821032662331415,0.3874,0.8797,0.538
0.0088245176354732,0.3875,0.8797,0.538
0.008827068700602417,0.3875,0.8797,0.538
0.008833988434986768,0.3875,0.8797,0.538
0.008834867160574092,0.3875,0.8797,0.538
0.008839976902365581,0.3875,0.8797,0.538
0.008840228656749665,0.3875,0.8797,0.538
0.008840642607737722,0.3876,0.8797,0.5381
0.008858694102074773,0.3877,0.8791,0.5381
0.008860644392755844,0.3878,0.8791,0.5382
0.008860728688807728,0.3878,0.8791,0.5382
0.00886605639498393,0.3878,0.8791,0.5382
0.008866440119896624,0.3879,0.8791,0.5382
0.008870013836150105,0.3879,0.8791,0.5382
0.008880678579479577,0.3879,0.8791,0.5383
0.008886838258061159,0.3879,0.8791,0.5383
0.008886899316015488,0.3879,0.8791,0.5383
0.008888346456645784,0.388,0.8791,0.5384
0.008890758787262655,0.388,0.8791,0.5384
0.008891154351300725,0.388,0.8791,0.5384
0.008891930110577697,0.388,0.8791,0.5384
0.008896147945429332,0.388,0.8791,0.5384
0.008897235657278818,0.388,0.8791,0.5384
0.008905880801444612,0.3882,0.8791,0.5386
0.008911658764905355,0.3882,0.8791,0.5386
0.008914544288437949,0.3882,0.8791,0.5386
0.008917019661252645,0.3882,0.8791,0.5386
0.008945720890773135,0.3882,0.8791,0.5386
0.008946028723100677,0.3882,0.8791,0.5386
0.008947639650800634,0.3883,0.8791,0.5387
0.008956365064364008,0.3883,0.8791,0.5387
0.008958331824665778,0.3885,0.8791,0.5388
0.008969004068985018,0.3885,0.8791,0.5388
0.008969336159623965,0.3885,0.8791,0.5388
0.008976301372465046,0.3885,0.8791,0.5389
0.008977358396067036,0.3885,0.8791,0.5389
0.008984623428318583,0.3885,0.8791,0.5389
0.008986772234612535,0.3885,0.8791,0.5389
0.008988518957325609,0.3886,0.8791,0.539
0.009002701714517189,0.3886,0.8791,0.539
0.009012953499528494,0.3886,0.8791,0.539
0.009019050258557385,0.3887,0.8791,0.539
0.009019883205204852,0.3887,0.8791,0.539
0.009022832469422294,0.3887,0.8791,0.539
0.009023179380242925,0.3887,0.8791,0.539
0.009026731225169055,0.3887,0.8791,0.539
0.009027500012407185,0.3887,0.8791,0.539
0.00903132469157298,0.3887,0.8791,0.5391
0.009035245220774476,0.3887,0.8791,0.5391
0.0090447746195127,0.3887,0.8791,0.5391
0.009046869481431467,0.3888,0.8791,0.5391
0.009047548741154007,0.3889,0.8791,0.5393
0.009048404173147164,0.389,0.8791,0.5393
0.00905543055653291,0.389,0.8791,0.5393
0.009057592874034362,0.389,0.8791,0.5394
0.009057636554841384,0.3891,0.8791,0.5394
0.009060409303861688,0.3891,0.8791,0.5394
0.00906149586634009,0.3893,0.8791,0.5396
0.009067037153967242,0.3893,0.8791,0.5397
0.009070007772900644,0.3894,0.8791,0.5397
0.009086611837560314,0.3894,0.8791,0.5397
0.00909116263321383,0.3894,0.8791,0.5398
0.009092853761335671,0.3895,0.8791,0.5398
0.00910385519542143,0.3895,0.8791,0.5398
0.009104368460362978,0.3895,0.8791,0.5398
0.009106251762750118,0.3895,0.8791,0.5398
0.009109922195789096,0.3896,0.8791,0.5399
0.009113834926423595,0.3896,0.8791,0.5399
0.009114409273633571,0.3896,0.8791,0.5399
0.00911470909644718,0.3896,0.8791,0.5399
0.009115997243925048,0.3897,0.8791,0.54
0.00911745858612931,0.3897,0.8791,0.54
0.009119422452941579,0.3897,0.8791,0.54
0.009120716920632687,0.3897,0.8791,0.54
0.009125441523857926,0.3897,0.8791,0.54
0.009129275494124574,0.3897,0.8791,0.54
0.009129471069025272,0.3897,0.8791,0.54
0.009142371132554976,0.3897,0.8791,0.5401
0.009146758504578084,0.3898,0.8791,0.5401
0.009147939631003956,0.3898,0.8791,0.5401
0.009149871958736597,0.3898,0.8791,0.5401
0.0091532874285527,0.3898,0.8791,0.5401
0.00915867453848263,0.3898,0.8791,0.5401
0.00917531158496774,0.3898,0.8791,0.5401
0.009176458718199585,0.3899,0.8791,0.5402
0.009179660327937371,0.3899,0.8791,0.5402
0.009182650451912272,0.3899,0.8791,0.5402
0.009188524744702277,0.3899,0.8791,0.5402
0.009188998559464085,0.3899,0.8791,0.5402
0.009189767346702217,0.3899,0.8791,0.5402
0.009190236455807767,0.3899,0.8791,0.5402
0.009194114564464449,0.39,0.8791,0.5403
0.009194971888630013,0.39,0.8791,0.5403
0.009195289757056496,0.39,0.8791,0.5403
0.00919655379725816,0.39,0.8791,0.5403
0.00919732258449629,0.39,0.8791,0.5403
0.009199682382810211,0.39,0.8791,0.5403
0.009203033905175654,0.39,0.8791,0.5403
0.009205989261611543,0.3901,0.8791,0.5404
0.009208422057687338,0.3901,0.8791,0.5404
0.009218702152296324,0.3901,0.8791,0.5404
0.009224465883790134,0.3901,0.8791,0.5404
0.009225234671028266,0.3901,0.8791,0.5404
0.009230301530281435,0.3902,0.8791,0.5404
0.009231734763699416,0.3902,0.8791,0.5405
0.009240637871544766,0.3903,0.8791,0.5405
0.009242971483426463,0.3904,0.8791,0.5407
0.009243637118688952,0.3904,0.8791,0.5407
0.009247120859719302,0.3904,0.8791,0.5407
0.009248799936132568,0.3904,0.8791,0.5407
0.009249320366968296,0.3905,0.8791,0.5408
0.009252369861513983,0.3905,0.8791,0.5408
0.009253580405724507,0.3906,0.8791,0.5408
0.00925510061671861,0.3906,0.8791,0.5408
0.009263753510951255,0.3906,0.8791,0.5409
0.009266979222368327,0.3906,0.8791,0.5409
0.009269145396496321,0.3907,0.8791,0.541
0.009270430506209036,0.3907,0.8791,0.541
0.009279704257714709,0.3907,0.8791,0.541
0.009286997300487305,0.3907,0.8791,0.541
0.00928983641689479,0.3907,0.8791,0.541
0.009294149229234593,0.3907,0.8791,0.541
0.009299605865442947,0.3907,0.8791,0.541
0.009302531928358919,0.3907,0.8791,0.541
0.009309320402798594,0.3907,0.8791,0.541
0.009312998264114483,0.3907,0.8791,0.541
0.009318580847844819,0.3908,0.8791,0.541
0.009319143672803497,0.3908,0.8791,0.5411
0.00932653221640241,0.3908,0.8791,0.5411
0.009327238082554203,0.3908,0.8791,0.5411
0.009327582559314434,0.3908,0.8791,0.5411
0.009328173955741209,0.3908,0.8791,0.5411
0.00932903682620684,0.3908,0.8791,0.5411
0.009331199143708294,0.3909,0.8791,0.5411
0.009340643423641172,0.3909,0.8791,0.5412
0.00934447739390782,0.3909,0.8791,0.5412
0.009344537631115273,0.3909,0.8791,0.5412
0.009346674235873102,0.3909,0.8791,0.5412
0.009352986124315659,0.3909,0.8791,0.5412
0.009355688279546448,0.3909,0.8791,0.5412
0.009361774092322944,0.3909,0.8791,0.5412
0.009364481091197136,0.391,0.8791,0.5412
0.009373059631670738,0.391,0.8791,0.5412
0.00937624022901624,0.391,0.8791,0.5412
0.009378821501474432,0.391,0.8791,0.5412
0.009380402778493897,0.391,0.8791,0.5412
0.009383889845164386,0.391,0.8791,0.5412
0.009390043712434475,0.391,0.8791,0.5413
0.009404106584202484,0.391,0.8791,0.5413
0.009409952245556014,0.391,0.8791,0.5413
0.009411081379151824,0.391,0.8791,0.5413
0.009411321813392515,0.3911,0.8791,0.5413
0.009416071483324543,0.3911,0.8791,0.5414
0.009416531419136261,0.3911,0.8791,0.5414
0.009416532776660502,0.3911,0.8791,0.5414
0.00942333964300755,0.3911,0.8791,0.5414
0.009426031533164327,0.3911,0.8791,0.5414
0.009427707041014716,0.3912,0.8791,0.5414
0.009430299097942225,0.3913,0.8791,0.5415
0.009432075057076992,0.3913,0.8791,0.5415
0.009438604909027726,0.3913,0.8789,0.5415
0.009439230176545669,0.3913,0.8789,0.5415
0.009439373696265857,0.3913,0.8789,0.5415
0.009442395169527964,0.3913,0.8789,0.5415
0.009443127163817112,0.3913,0.8789,0.5415
0.009443684249801973,0.3913,0.8789,0.5415
0.00944453968179513,0.3914,0.8789,0.5416
0.009457698854267924,0.3914,0.8789,0.5416
0.009463325472292037,0.3915,0.8789,0.5417
0.009470703620312198,0.3915,0.8789,0.5417
0.009471883632298433,0.3915,0.8789,0.5417
0.009472896506276465,0.3915,0.8789,0.5418
0.009473595564584141,0.3915,0.8789,0.5418
0.009476277610136372,0.3916,0.8789,0.5418
0.009477516093785637,0.3916,0.8789,0.5418
0.009481764648308782,0.3916,0.8789,0.5418
