tool,config,auto_precision,auto_recall,auto_f1,manual_precision,manual_recall,manual_f1
doop,v1_39,0.76,0.86,0.81,0.59,0.3,0.4
doop,v3_5,0.84,0.86,0.85,0.59,0.3,0.4
doop,v2_0,0.82,0.73,0.77,0.67,0.27,0.39
wala,v1_19,0.75,0.81,0.78,0.68,0.27,0.39
wala,v3_0,0.84,0.81,0.83,0.68,0.27,0.39
wala,v1_23,0.76,0.81,0.79,0.68,0.27,0.39
opal,v1_0,0.79,0.92,0.85,0.33,0.33,0.33
