analysis,reflection,handleStaticInit,useConstantSpecificKeys,handleZeroLengthArray,useLexicalScopingForGlobals,useStacksForLexicalScoping
1cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
2cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
1obj,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
2obj,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
rta,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
VANILLA_1cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
VANILLA_2cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
VANILLA_1obj,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
VANILLA_2obj,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
ZEROONE_CFA,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
VANILLA_ZEROONECFA,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
ZEROONE_CONTAINER_CFA,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
VANILLA_ZEROONE_CONTAINER_CFA,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
ZERO_CONTAINER_CFA,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
1cfa,FULL,false,false,true,false,false
2cfa,FULL,false,false,true,false,false
1obj,FULL,false,false,true,false,false
2obj,FULL,false,false,true,false,false
rta,FULL,false,false,true,false,false
VANILLA_1cfa,FULL,false,false,true,false,false
VANILLA_2cfa,FULL,false,false,true,false,false
VANILLA_1obj,FULL,false,false,true,false,false
VANILLA_2obj,FULL,false,false,true,false,false
ZEROONE_CFA,FULL,false,false,true,false,false
VANILLA_ZEROONECFA,FULL,false,false,true,false,false
ZEROONE_CONTAINER_CFA,FULL,false,false,true,false,false
VANILLA_ZEROONE_CONTAINER_CFA,FULL,false,false,true,false,false
ZERO_CONTAINER_CFA,FULL,false,false,true,false,false
