PER_PROGRAM_BASELINE
Benchmark,Precision,Recall
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url027b37a4db_ctriposs_bigmap_tgz-pJ8-com_ctriposs_bigmap_LimitTestJ8,0.5145,0.5391
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8,0.7726,0.9722
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8,0.2799,0.4839
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url47087446e9_kellrott_SparqlScape_tgz-pJ8-org_json_TestJ8,0.8778,0.9767
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8,0.858,0.3747
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url24d793285d_auzll_gengweibo_tgz-pJ8-org_json_TestJ8,0.7407,0.9805
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,0.3279,0.8539
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url47ebb27197_asirbu_CorrectiveEvolution_tgz-pJ8-eu_fbk_soa_evolution_engine_impl_test_ProblemToSMVFuncTestJ8,0.9524,0.049
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8,0.8693,0.9882
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,0.735,0.7082
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url458e40ff41_mmacfadden_java_baldwin_ga_tgz-pJ8-edu_sdsu_cs652_si_baldwin_SimulationEngineJ8,0.881,0.1489
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url36deadcd05_SCass1986_spawncamping_cyril_tgz-pJ8-org_stephen_hashmap_MainJ8,0.5386,0.265
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url27a7ae3508_serkan_ozal_ocean_of_memories_tgz-pJ8-com_zeroturnaround_rebellabs_oceanofmemories_article1_objectlayout_ObjectMemoryLayoutDemoJ8,0.4141,0.7143
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8,1.0,0.0
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0f7f8f6435_TimmiTBy_Epam_tgz-pJ8-com_epam_electricalappliance_RunnerJ8,0.5294,0.8724
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8,0.774,0.2124
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0d084b4168_zhourui392_BaiduPicDown_tgz-pJ8-org_json_TestJ8,0.8735,0.9766
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,0.5111,0.1697
../../../dataset-high-precision-callgraphs/full_callgraphs_set/url0e7d57473a_kyorohiro_HetimaUtil_tgz-pJ8-net_hetimatan_net_http_HttpServer3xxJ8,0.7143,0.3169
